transactionId,accountId,amount,type,date
185,225,89.4,withdrawal,02/13/23
186,513,236.6,withdrawal,04/23/24
187,880,61.1,deposit,09/28/23
188,1631,138.7,withdrawal,04/24/23
189,520,474.4,withdrawal,08/16/23
190,1699,368.6,deposit,12/17/23
191,867,256.8,deposit,09/17/23
192,1642,239.8,deposit,04/14/24
193,593,400.2,withdrawal,10/06/23
194,405,14.2,withdrawal,04/21/24
195,1637,408.6,withdrawal,08/02/23
196,518,221.3,deposit,11/01/23
197,816,228.3,deposit,04/05/23
198,488,13.4,deposit,03/01/23
199,632,162.7,deposit,04/25/23
200,265,333.2,withdrawal,05/14/23
201,1786,213,deposit,04/17/24
202,1670,328.2,deposit,02/25/24
203,1696,199.2,deposit,08/05/23
204,510,370.1,deposit,11/23/23
205,1401,192.2,withdrawal,03/07/24
206,1129,495.8,withdrawal,05/17/24
207,290,172.6,withdrawal,05/20/24
208,1106,322.6,deposit,01/17/24
209,974,179.8,withdrawal,02/10/24
210,1443,210.3,deposit,03/10/23
211,1723,465.3,deposit,02/17/24
212,303,201.2,deposit,04/27/23
213,391,125.8,withdrawal,04/03/23
214,1323,398.6,withdrawal,02/19/23
215,1318,483.6,deposit,11/16/23
216,1149,283.8,deposit,04/19/24
217,238,360,deposit,07/24/23
218,172,166.8,deposit,07/06/23
219,33,235.4,deposit,12/12/23
220,418,362.6,deposit,04/30/24
221,690,50.3,deposit,01/25/24
222,190,184.2,deposit,12/25/23
223,1379,442.8,deposit,02/14/23
224,1487,91.7,deposit,01/13/23
225,660,293.8,deposit,03/10/23
226,361,128.5,deposit,12/08/23
227,453,176.9,deposit,02/05/23
228,961,265.5,deposit,03/06/23
229,40,269.5,withdrawal,10/21/23
230,984,69.8,withdrawal,07/01/23
231,339,336.4,withdrawal,10/20/23
232,992,425,deposit,07/24/23
233,928,174.4,deposit,01/20/24
234,1608,378.7,withdrawal,06/14/23
235,983,285.8,withdrawal,02/17/23
236,156,189.3,withdrawal,10/09/23
237,566,268.9,deposit,01/25/24
238,1688,473.2,withdrawal,01/13/24
239,714,26,deposit,12/06/23
240,1612,307.9,deposit,11/24/23
241,42,208.4,withdrawal,04/25/23
242,1609,72.2,withdrawal,04/23/23
243,452,128.5,deposit,04/07/23
244,1740,250.4,deposit,02/26/24
245,1482,288.5,deposit,04/05/24
246,1694,467.8,deposit,03/02/24
247,895,282,deposit,01/07/24
248,701,138.8,withdrawal,10/10/23
249,518,79.2,deposit,04/20/23
250,1094,386.1,deposit,02/20/23
251,795,55.1,withdrawal,05/20/23
252,520,500.8,withdrawal,02/08/23
253,1391,244.3,withdrawal,02/08/23
254,1445,47.4,withdrawal,08/31/23
255,1324,241,deposit,04/17/23
256,1598,211.8,deposit,04/10/23
257,1204,178,withdrawal,12/28/23
258,598,286.8,withdrawal,01/12/23
259,1299,77.8,deposit,03/13/24
260,778,491.2,withdrawal,04/13/24
261,1412,443.7,deposit,01/29/24
262,137,302.5,withdrawal,08/01/23
263,841,447.1,deposit,05/25/23
264,727,221.4,withdrawal,01/16/23
265,1585,15.1,withdrawal,10/11/23
266,11,81.6,deposit,01/29/23
267,436,108.1,withdrawal,05/09/24
268,398,296.1,deposit,04/19/23
269,1709,353.4,withdrawal,10/14/23
270,1328,344.9,deposit,03/13/23
271,788,432.6,deposit,10/27/23
272,845,359.2,deposit,10/29/23
273,1489,379.5,withdrawal,07/22/23
274,691,361.4,deposit,07/13/23
275,169,141.1,deposit,01/03/23
276,906,152.4,withdrawal,05/08/24
277,204,46.6,withdrawal,02/11/23
278,667,96.7,deposit,12/09/23
279,1114,59.7,withdrawal,11/16/23
280,1482,447.8,withdrawal,02/28/23
281,219,223.1,withdrawal,09/19/23
282,905,460.8,withdrawal,10/30/23
283,1356,41.2,deposit,01/04/24
284,1349,27.4,withdrawal,11/07/23
285,1070,369.7,withdrawal,04/30/23
286,1785,454,withdrawal,05/26/23
287,1372,359.7,withdrawal,05/21/23
288,1495,443.8,deposit,10/03/23
289,514,226.5,withdrawal,02/24/24
290,860,80.9,withdrawal,05/08/24
291,62,363.8,deposit,08/04/23
292,772,256.2,deposit,03/08/23
293,678,225.5,withdrawal,01/05/24
294,146,395.3,deposit,07/04/23
295,935,23.4,withdrawal,09/12/23
296,658,173.7,withdrawal,10/16/23
297,1480,71.3,deposit,05/12/23
298,1030,20.9,withdrawal,04/01/23
299,1751,255.4,deposit,02/13/24
300,476,454.4,withdrawal,02/22/24
301,324,431,deposit,05/27/24
302,1547,202.9,deposit,01/24/24
303,799,17.5,withdrawal,04/25/23
304,1617,484.6,withdrawal,09/01/23
305,64,84.4,deposit,05/03/24
306,524,74.5,deposit,09/05/23
307,573,471.7,withdrawal,10/16/23
308,545,68.4,deposit,03/18/24
309,554,400.7,deposit,11/07/23
310,547,125,withdrawal,03/01/24
311,797,420.7,withdrawal,02/25/24
312,75,270.1,withdrawal,02/10/24
313,537,363,deposit,02/03/23
314,947,375.4,deposit,08/06/23
315,1218,304.9,deposit,07/21/23
316,924,271.3,withdrawal,10/21/23
317,318,312,withdrawal,05/26/23
318,1227,94.1,deposit,05/26/24
319,411,344.9,withdrawal,03/23/23
320,154,324.5,withdrawal,02/01/24
321,6,234.3,deposit,05/13/24
322,250,281,deposit,10/08/23
323,1008,89.6,deposit,03/28/23
324,1275,489.6,withdrawal,05/21/23
325,1746,138.8,deposit,01/02/24
326,931,282.9,withdrawal,04/28/24
327,39,44.6,deposit,09/12/23
328,899,396.2,withdrawal,12/27/23
329,167,209.4,withdrawal,03/18/24
330,632,426.6,withdrawal,09/22/23
331,223,170.3,withdrawal,09/15/23
332,872,318,withdrawal,03/09/23
333,1513,488.4,deposit,06/03/23
334,146,176.2,deposit,02/10/24
335,506,451.6,deposit,07/03/23
336,677,334.9,withdrawal,03/07/23
337,1092,156.4,withdrawal,05/11/24
338,787,78.1,withdrawal,09/25/23
339,1093,177.9,withdrawal,10/21/23
340,1096,83.6,deposit,09/18/23
341,1015,72.1,deposit,05/28/24
342,1610,373,withdrawal,01/18/23
343,1048,114.6,deposit,06/24/23
344,1082,134.6,withdrawal,12/07/23
345,767,306,deposit,09/04/23
346,95,255.8,withdrawal,05/18/23
347,237,223,withdrawal,08/18/23
348,1702,212.5,withdrawal,01/02/23
349,1013,449.5,deposit,05/18/23
350,1366,467.9,withdrawal,07/23/23
351,1,11.5,deposit,08/09/23
352,1390,269.6,deposit,03/03/24
353,566,242.3,withdrawal,06/29/23
354,1029,80.4,deposit,06/02/23
355,176,282.3,withdrawal,04/24/23
356,739,170.1,deposit,03/22/23
357,1124,316.3,withdrawal,05/16/23
358,1187,123.9,withdrawal,10/08/23
359,289,370.5,withdrawal,08/30/23
360,1719,249.9,deposit,12/14/23
361,367,347.5,deposit,01/09/23
362,1509,361.7,deposit,02/22/24
363,509,84.9,withdrawal,02/26/23
364,1020,452.1,withdrawal,03/06/23
365,1587,107.8,deposit,01/26/23
366,287,349.2,withdrawal,09/22/23
367,1056,267.5,withdrawal,09/11/23
368,1288,353.3,withdrawal,02/12/23
369,5,471.2,withdrawal,01/25/24
370,946,143,withdrawal,08/25/23
371,355,240.3,deposit,12/08/23
372,597,137,withdrawal,07/23/23
373,1517,41.2,deposit,06/14/23
374,815,452.9,deposit,03/01/23
375,803,242.5,deposit,08/10/23
376,819,142,deposit,03/01/23
377,510,138.1,deposit,12/20/23
378,700,269,withdrawal,01/26/24
379,56,16.3,withdrawal,10/26/23
380,80,369.9,withdrawal,05/07/24
381,624,360.3,deposit,01/28/24
382,694,363.9,withdrawal,05/11/24
383,610,453,withdrawal,01/06/24
384,328,260.4,deposit,12/24/23
385,910,476.1,withdrawal,03/06/23
386,787,450.6,deposit,02/25/24
387,1258,238.7,withdrawal,11/23/23
388,1181,248.8,deposit,05/11/24
389,434,399.1,withdrawal,09/25/23
390,20,27,withdrawal,07/16/23
391,247,456,withdrawal,06/05/23
392,564,283.8,withdrawal,03/29/23
393,21,312.6,withdrawal,06/08/23
394,1281,172,withdrawal,04/07/24
395,759,449.1,deposit,01/05/24
396,418,304.5,withdrawal,08/24/23
397,184,441.7,withdrawal,03/01/23
398,1496,345.1,deposit,12/02/23
399,1498,74.3,withdrawal,11/03/23
400,1493,239.1,withdrawal,12/26/23
401,1295,199.3,withdrawal,02/08/24
402,1602,245,deposit,09/13/23
403,76,335.3,deposit,10/04/23
404,904,99.7,deposit,01/01/23
405,1736,31.1,deposit,04/07/24
406,859,389.7,withdrawal,05/04/24
407,212,379.4,deposit,05/19/23
408,1237,126,deposit,05/25/24
409,640,264,deposit,12/21/23
410,1054,359,deposit,11/15/23
411,1327,215,withdrawal,07/27/23
412,70,346.8,deposit,08/11/23
413,1697,463.9,deposit,04/24/24
414,998,164.9,deposit,01/18/23
415,1415,100.1,deposit,05/03/23
416,657,267.5,withdrawal,04/17/23
417,838,242.3,deposit,05/17/23
418,917,321.2,withdrawal,08/06/23
419,437,148.5,deposit,12/14/23
420,10,382.9,deposit,07/04/23
421,1189,383,withdrawal,01/12/24
422,482,69.8,deposit,10/13/23
423,1276,110.9,withdrawal,05/05/23
424,159,428.4,withdrawal,04/11/23
425,1713,278.5,withdrawal,02/08/23
426,1791,325.6,withdrawal,05/25/23
427,333,55.4,deposit,12/14/23
428,819,306.1,withdrawal,02/22/24
429,1079,308.3,withdrawal,06/03/23
430,736,110.4,withdrawal,03/03/24
431,1037,312,deposit,02/02/24
432,302,342.6,deposit,09/15/23
433,86,325.5,withdrawal,03/10/23
434,1025,197.7,deposit,05/22/24
435,914,486.4,withdrawal,02/02/24
436,1211,282.9,deposit,01/10/24
437,258,432.5,withdrawal,04/15/23
438,1202,101.1,deposit,01/04/24
439,1530,141.1,withdrawal,07/23/23
440,762,37.3,withdrawal,05/15/24
441,833,346.3,withdrawal,03/26/23
442,733,437.3,withdrawal,08/14/23
443,1702,289.4,withdrawal,02/20/24
444,272,6.3,withdrawal,06/17/23
445,1756,139.2,deposit,05/04/24
446,95,360,withdrawal,08/29/23
447,1026,170.8,deposit,11/08/23
448,868,157.2,withdrawal,08/24/23
449,1664,373.2,deposit,04/28/23
450,1642,282.9,deposit,07/13/23
451,226,479.5,deposit,05/06/24
452,984,238.3,deposit,01/07/24
453,1754,190.4,withdrawal,10/23/23
454,345,410.8,withdrawal,02/17/24
455,10,332.9,deposit,01/24/24
456,1120,235.9,withdrawal,03/21/24
457,1609,173,deposit,04/27/23
458,458,484.7,withdrawal,07/03/23
459,1044,348.1,deposit,10/05/23
460,834,337.2,withdrawal,06/13/23
461,440,347,deposit,04/27/23
462,628,73.3,withdrawal,07/27/23
463,764,148.3,withdrawal,05/03/23
464,1471,114.9,deposit,01/12/23
465,860,148,deposit,08/23/23
466,1322,114.3,deposit,12/14/23
467,299,494,withdrawal,04/07/24
468,1637,413.6,deposit,05/01/23
469,745,67.6,withdrawal,04/16/24
470,686,488.6,deposit,02/07/23
471,1790,324.7,withdrawal,04/08/23
472,811,258.4,withdrawal,02/07/23
473,677,449.8,deposit,03/09/24
474,514,381.4,deposit,04/21/23
475,1112,475.6,withdrawal,03/09/24
476,159,331.3,deposit,02/06/23
477,1070,200.8,withdrawal,05/30/23
478,329,257.4,withdrawal,10/15/23
479,982,232.9,deposit,04/27/23
480,647,164.1,withdrawal,04/27/24
481,619,485.9,deposit,01/20/23
482,1488,122.3,deposit,05/22/23
483,489,102.6,deposit,09/09/23
484,539,471.3,deposit,06/21/23
485,684,297.9,withdrawal,09/13/23
486,881,55.3,deposit,01/12/23
487,504,51.3,deposit,04/16/23
488,1262,179.5,withdrawal,03/06/24
489,736,240.9,deposit,07/16/23
490,572,465.5,deposit,05/08/23
491,758,118.2,withdrawal,04/22/23
492,1451,263.7,deposit,05/21/24
493,1217,188.7,withdrawal,11/20/23
494,1383,408.7,deposit,02/13/24
495,1466,377.8,withdrawal,01/29/24
496,354,323.4,withdrawal,03/15/23
497,760,46.5,deposit,06/20/23
498,1025,214,deposit,02/27/23
499,968,88.2,withdrawal,07/19/23
500,1102,315.1,withdrawal,02/07/23
501,484,22.6,deposit,08/23/23
502,1226,241.4,deposit,01/16/24
503,152,12.9,withdrawal,07/28/23
504,935,192.1,withdrawal,12/18/23
505,1416,284.2,withdrawal,05/26/23
506,382,85.8,deposit,05/20/23
507,745,57.3,deposit,05/14/23
508,1475,55.3,deposit,10/16/23
509,807,109.1,withdrawal,05/02/23
510,480,262.6,deposit,11/22/23
511,755,66.6,withdrawal,02/06/24
512,1737,249,withdrawal,03/08/23
513,1539,184.4,withdrawal,12/04/23
514,1153,298.8,withdrawal,05/23/23
515,401,208.5,withdrawal,03/19/23
516,1009,474.6,deposit,06/22/23
517,1626,467.1,deposit,03/13/23
518,469,362.4,withdrawal,12/07/23
519,991,242.7,withdrawal,01/28/23
520,1544,341.1,withdrawal,08/19/23
521,687,200,withdrawal,02/13/24
522,1291,199.9,deposit,09/28/23
523,177,431.8,withdrawal,07/30/23
524,1100,78.9,deposit,06/07/23
525,1375,245.9,withdrawal,11/01/23
526,1065,464.3,withdrawal,02/16/24
527,1426,142.4,withdrawal,02/10/24
528,465,31.8,deposit,01/03/23
529,15,286.4,withdrawal,07/29/23
530,82,222.3,deposit,03/03/24
531,536,373.7,deposit,03/21/24
532,1013,133.8,withdrawal,02/07/24
533,214,165.6,withdrawal,12/11/23
534,1483,98.9,deposit,09/08/23
535,292,70.2,withdrawal,03/14/24
536,1798,420.5,deposit,03/21/24
537,1257,197.5,withdrawal,03/22/24
538,544,302.5,deposit,11/16/23
539,222,179.1,deposit,01/04/24
540,1024,82.8,deposit,11/17/23
541,1542,434.7,deposit,05/11/24
542,1339,54.8,withdrawal,03/01/24
543,760,200.9,deposit,03/18/23
544,1250,382.7,deposit,02/15/23
545,1695,416.9,deposit,05/24/23
546,1532,344.9,withdrawal,01/14/24
547,1512,424.2,deposit,01/15/24
548,710,15.1,deposit,07/10/23
549,1795,42.2,withdrawal,09/21/23
550,1622,97.1,withdrawal,09/28/23
551,650,173.3,withdrawal,11/14/23
552,520,345.8,withdrawal,02/05/24
553,501,88.8,withdrawal,12/11/23
554,113,178.2,withdrawal,03/06/24
555,1755,283.2,deposit,10/27/23
556,504,326.9,withdrawal,01/06/24
557,1313,283.3,deposit,01/04/24
558,728,99.5,withdrawal,01/17/23
559,838,307.6,deposit,08/06/23
560,301,315.6,withdrawal,03/05/23
561,176,12,withdrawal,01/10/24
562,173,464.1,deposit,01/19/23
563,506,284.5,withdrawal,11/12/23
564,1556,325.4,deposit,04/29/23
565,347,346.1,deposit,09/15/23
566,232,165.5,withdrawal,01/22/24
567,491,9.9,withdrawal,06/26/23
568,1487,199.8,withdrawal,03/02/23
569,684,262.3,withdrawal,11/21/23
570,1070,466.5,deposit,03/10/23
571,174,182.7,withdrawal,08/10/23
572,1222,259.6,deposit,08/22/23
573,292,443.9,deposit,03/06/23
574,656,123.8,withdrawal,01/12/24
575,590,346.2,deposit,05/17/23
576,689,345.9,deposit,04/07/24
577,1644,371.8,deposit,12/01/23
578,647,245.2,deposit,07/23/23
579,1310,385.4,withdrawal,07/29/23
580,43,386.6,deposit,11/03/23
581,74,319.9,withdrawal,03/03/24
582,263,169.4,withdrawal,05/25/24
583,779,425,deposit,05/07/23
584,446,164.3,deposit,11/22/23
585,834,426,deposit,11/24/23
586,1671,74.7,withdrawal,03/21/23
587,871,23.2,withdrawal,04/08/24
588,1325,218.9,withdrawal,12/23/23
589,75,45.2,deposit,10/17/23
590,1572,159.6,withdrawal,06/12/23
591,883,315.3,withdrawal,06/03/23
592,983,95.8,deposit,10/02/23
593,266,162.7,deposit,04/28/24
594,778,275.9,withdrawal,07/02/23
595,501,231.5,withdrawal,09/11/23
596,1748,323.7,withdrawal,05/14/24
597,1567,363.8,withdrawal,03/25/23
598,1217,273.7,withdrawal,04/24/23
599,694,196.8,deposit,03/24/24
600,286,49.3,deposit,09/21/23
601,968,61.4,withdrawal,02/22/23
602,1039,13.8,withdrawal,02/13/23
603,1630,187.8,deposit,04/12/23
604,1219,116.6,deposit,11/30/23
605,32,237,withdrawal,06/01/23
606,1247,403.3,withdrawal,10/07/23
607,1800,223.6,deposit,04/29/24
608,682,295.5,withdrawal,12/01/23
609,209,491.7,withdrawal,11/30/23
610,372,425.6,deposit,02/02/24
611,349,100.8,withdrawal,12/09/23
612,1121,214.4,deposit,02/21/24
613,226,227.1,deposit,06/08/23
614,1256,191.6,withdrawal,01/20/23
615,667,347.3,deposit,06/10/23
616,884,297.3,deposit,04/22/23
617,1615,39.3,deposit,07/02/23
618,23,270.1,withdrawal,02/04/23
619,868,142.8,withdrawal,10/29/23
620,1654,215,deposit,02/09/23
621,1701,292,withdrawal,04/18/24
622,505,444.1,withdrawal,08/27/23
623,1166,374.5,withdrawal,04/17/24
624,1296,157.8,withdrawal,02/01/23
625,1208,13.1,withdrawal,02/01/24
626,444,177,withdrawal,05/24/24
627,327,300.2,deposit,07/11/23
628,214,478.5,withdrawal,03/13/23
629,775,161.5,withdrawal,02/26/23
630,653,280.4,withdrawal,04/04/23
631,846,473.9,withdrawal,03/25/24
632,1521,7.4,deposit,09/18/23
633,908,88.4,deposit,04/25/24
634,666,407,withdrawal,06/03/23
635,1588,153.5,withdrawal,03/12/23
636,550,214.5,deposit,05/31/23
637,500,188.6,deposit,09/28/23
638,698,24.9,withdrawal,04/21/23
639,58,177.2,withdrawal,11/25/23
640,1466,484.2,deposit,04/24/23
641,765,24.2,withdrawal,03/24/24
642,1617,458.8,deposit,10/24/23
643,1037,172.1,withdrawal,03/24/23
644,752,149.4,deposit,12/23/23
645,669,139.8,deposit,03/11/24
646,1681,257,withdrawal,12/19/23
647,1143,276.4,withdrawal,03/01/23
648,564,327.1,deposit,12/07/23
649,1638,302.2,withdrawal,05/13/24
650,1304,479.5,withdrawal,02/28/24
651,488,64.2,withdrawal,09/20/23
652,532,54,deposit,03/27/23
653,188,406.6,withdrawal,03/21/23
654,1027,132.7,deposit,04/14/24
655,1005,200,deposit,10/18/23
656,788,41.5,deposit,04/28/23
657,39,26.8,withdrawal,04/19/24
658,919,284.1,deposit,07/31/23
659,100,243.6,withdrawal,01/25/24
660,972,173.9,deposit,07/20/23
661,1582,335,withdrawal,09/17/23
662,659,499.2,deposit,05/08/23
663,457,19.6,deposit,03/08/24
664,1533,43.9,withdrawal,03/01/23
665,989,210.1,withdrawal,11/14/23
666,1241,433.4,withdrawal,10/14/23
667,1436,312.3,withdrawal,05/14/24
668,325,322,deposit,03/08/23
669,1292,54.1,deposit,01/14/24
670,38,79.7,deposit,03/26/23
671,1211,386.7,deposit,04/12/23
672,1022,447.4,withdrawal,09/07/23
673,756,310,deposit,06/01/23
674,737,339.1,deposit,11/24/23
675,1114,168.8,deposit,10/24/23
676,208,415,withdrawal,11/17/23
677,1106,94.4,deposit,04/12/23
678,151,136,deposit,12/04/23
679,807,208.4,deposit,05/03/23
680,96,133.2,withdrawal,02/26/23
681,1587,20.7,withdrawal,06/08/23
682,1456,416.5,withdrawal,02/02/24
683,605,487.7,deposit,08/14/23
684,1646,149.9,deposit,10/16/23
685,1105,486.7,withdrawal,09/24/23
686,1465,441.8,deposit,03/08/24
687,1514,441.1,deposit,11/24/23
688,17,46.8,deposit,04/02/23
689,1653,61.4,withdrawal,11/15/23
690,1633,27.3,withdrawal,10/01/23
691,425,122.9,deposit,03/17/23
692,678,225.6,withdrawal,03/13/24
693,318,446.7,withdrawal,09/21/23
694,506,473.3,withdrawal,11/21/23
695,470,189.1,withdrawal,10/01/23
696,1170,28,deposit,03/21/23
697,576,214.9,withdrawal,11/07/23
698,368,76.8,deposit,08/06/23
699,1789,103.9,deposit,01/14/23
700,1350,247.9,withdrawal,05/09/24
701,1388,84.7,deposit,01/02/24
702,63,451.3,deposit,05/23/23
703,69,164.4,deposit,01/22/23
704,1688,220.7,deposit,02/11/23
705,592,163.1,withdrawal,04/24/24
706,1604,300.6,withdrawal,07/07/23
707,1025,252.9,withdrawal,07/20/23
708,1155,447.4,deposit,01/29/24
709,183,8.3,withdrawal,02/22/24
710,964,23,deposit,09/14/23
711,712,336,deposit,01/22/24
712,131,200,deposit,03/20/24
713,418,495.6,withdrawal,11/03/23
714,1341,36.2,deposit,01/16/24
715,705,128.3,withdrawal,08/03/23
716,453,419.8,deposit,01/06/24
717,39,345.2,deposit,02/28/23
718,16,135.7,deposit,05/31/24
719,1195,20.9,withdrawal,01/08/24
720,1317,297.6,withdrawal,04/25/23
721,1326,457.1,withdrawal,03/26/23
722,1022,487.9,withdrawal,03/15/23
723,177,210.5,withdrawal,07/24/23
724,276,21,withdrawal,03/29/23
725,206,377.3,withdrawal,01/19/23
726,1651,469.8,withdrawal,02/26/24
